City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,-4.15,79,100,5.66,CA,1698325913
1,kismayo,-0.3582,42.5454,28.6,71,40,5.52,SO,1698325913
2,lata,40.1629,-8.3327,17.26,93,100,1.64,PT,1698325913
3,tsiombe,-25.3,45.4833,25.82,42,17,6.15,MG,1698325913
4,grand falls-windsor,48.9332,-55.6649,9.72,95,99,3.66,CA,1698325913
5,bethel,41.3712,-73.414,17.86,75,0,0.0,US,1698325914
6,lihue,21.9789,-159.3672,22.58,83,0,3.6,US,1698325914
7,west island,-12.1568,96.8225,25.99,83,100,7.72,CC,1698325914
8,eydhafushi,5.1033,73.0708,28.1,75,24,3.73,MV,1698325915
9,port-aux-francais,-49.35,70.2167,1.73,81,100,11.63,TF,1698325915
10,papatowai,-46.5619,169.4708,3.03,86,100,7.82,NZ,1698325915
11,nova vicosa,-17.8919,-39.3719,29.65,66,78,5.0,BR,1698325915
12,ilulissat,69.2167,-51.1,-0.99,69,75,7.2,GL,1698325916
13,edinburgh of the seven seas,-37.0676,-12.3116,11.83,59,81,2.37,SH,1698325916
14,coquimbo,-29.9533,-71.3436,14.73,76,57,1.42,CL,1698325916
15,invercargill,-46.4,168.35,3.34,94,100,2.24,NZ,1698325916
16,dhidhdhoo,6.8833,73.1,28.89,71,12,3.54,MV,1698325917
17,adamstown,-25.066,-130.1015,22.12,81,18,7.28,PN,1698325806
18,gornozavodsk,58.3758,58.3211,-5.16,65,32,4.3,RU,1698325917
19,udachny,66.4167,112.4,-13.13,96,98,1.77,RU,1698325826
20,lebu,-37.6167,-73.65,11.76,78,100,6.37,CL,1698325917
21,jamestown,42.097,-79.2353,18.08,67,100,2.57,US,1698325741
22,beyneu,45.3167,55.2,8.94,56,78,2.7,KZ,1698325917
23,albany,42.6001,-73.9662,16.44,76,83,0.76,US,1698325918
24,tiksi,71.6872,128.8694,-8.43,88,100,3.36,RU,1698325918
25,wailua homesteads,22.0669,-159.378,22.24,83,0,3.6,US,1698325918
26,casilda,-33.0442,-61.1681,23.03,51,87,4.04,AR,1698325828
27,ushuaia,-54.8,-68.3,2.79,78,98,5.42,AR,1698325672
28,mar del plata,-38.0023,-57.5575,17.42,56,0,6.42,AR,1698325919
29,xinyuan,37.3,99.0,-0.86,49,4,1.4,CN,1698325919
30,bilibino,68.0546,166.4372,-12.55,97,100,0.91,RU,1698325919
31,anadyr,64.75,177.4833,0.28,100,100,2.0,RU,1698325484
32,hawaiian paradise park,19.5933,-154.9731,23.35,98,100,3.09,US,1698325919
33,tura,25.5198,90.2201,20.69,84,0,1.02,IN,1698325763
34,la passe,45.5549,-0.8967,15.55,93,100,6.47,FR,1698325919
35,waitangi,-43.9535,-176.5597,14.34,91,99,3.13,NZ,1698325920
36,gumushkhane,40.4603,39.4814,19.62,46,100,3.61,TR,1698325920
37,mahibadhoo,3.7833,72.9667,27.79,78,90,3.89,MV,1698325920
38,la'ie,21.6477,-157.9253,22.98,75,45,0.85,US,1698325920
39,thompson,55.7435,-97.8558,-6.72,76,9,2.24,CA,1698325764
40,grytviken,-54.2811,-36.5092,2.97,92,100,8.29,GS,1698325921
